180.76.15.162 bot - "2017-01-07 10:07:01" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
159.203.70.162 - - "2017-01-07 11:39:50" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:40:00" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:40:05" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:40:21" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:40:35" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:41:10" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:41:36" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
159.203.70.162 - - "2017-01-07 11:42:25" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
163.172.65.109 bot - "2017-01-07 14:42:15" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
