103.205.176.145 - - "2018-04-23 12:05:05" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:05:09" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:05:11" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:05:59" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
103.205.176.145 - - "2018-04-23 12:06:20" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
88.198.136.83 bot - "2018-04-23 14:35:55" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
191.181.185.248 - 41 "2018-04-23 15:25:42" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
66.249.79.97 bot - "2018-04-23 15:30:07" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
177.40.139.174 - 91 "2018-04-23 16:36:55" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
177.40.139.174 - 91 "2018-04-23 16:37:02" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
177.40.139.174 - 91 "2018-04-23 16:37:08" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
66.249.79.91 bot - "2018-04-23 17:40:46" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
45.33.36.205 - 94 "2018-04-23 18:14:05" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.16"
45.33.36.205 - 94 "2018-04-23 18:14:06" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "GuzzleHttp/6.2.1 curl/7.47.0 PHP/7.1.16"
