66.249.73.95 bot - "2017-08-16 14:33:57" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.93 bot - "2017-08-16 14:49:09" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.95 bot - "2017-08-16 15:14:37" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
198.103.184.76 - - "2017-08-16 15:51:40" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
66.249.65.205 bot - "2017-08-16 15:55:09" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.203 bot - "2017-08-16 16:00:18" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
198.103.184.76 - - "2017-08-16 17:46:52" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
198.103.184.76 - - "2017-08-16 17:48:13" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
66.249.65.203 bot - "2017-08-16 18:33:07" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
5.255.250.148 bot - "2017-08-16 19:05:56" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.65.126 bot - "2017-08-16 19:46:49" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-08-16 19:49:37" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.100 bot - "2017-08-16 19:56:18" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.207 bot - "2017-08-16 19:59:37" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-08-16 21:12:28" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-08-16 21:27:15" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.93 bot - "2017-08-16 21:29:16" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.62 bot - "2017-08-16 21:53:25" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-08-16 23:41:12" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
