180.76.15.135 bot - "2017-03-16 01:05:22" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
148.251.136.8 - - "2017-03-16 01:20:44" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:20:53" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:21:03" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:21:13" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:21:23" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:21:32" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:22:03" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
148.251.136.8 - - "2017-03-16 01:23:15" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)"
180.76.15.162 bot - "2017-03-16 04:26:59" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
163.172.65.108 bot - "2017-03-16 11:01:24" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
91.133.132.57 - - "2017-03-16 12:14:36" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
91.133.132.57 - - "2017-03-16 12:14:57" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
141.8.143.183 bot - "2017-03-16 15:17:13" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.79.142 bot - "2017-03-16 18:53:22" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.142 bot - "2017-03-16 19:06:05" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
143.107.252.91 - - "2017-03-16 22:07:38" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
143.107.252.91 - - "2017-03-16 22:07:50" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
143.107.252.91 - - "2017-03-16 22:08:09" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
