157.55.39.72 bot - "2017-10-10 02:04:17" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.46 bot - "2017-10-10 03:58:05" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.69.68 bot - "2017-10-10 05:51:19" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-10-10 07:13:34" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.150 bot - "2017-10-10 08:00:23" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
103.18.0.18 - - "2017-10-10 08:28:45" http://viti.ca/journals/index.php/VJIBL/article/download/8/6 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
66.249.69.65 bot - "2017-10-10 16:57:58" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-10-10 17:27:30" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-10-10 17:29:08" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.68 bot - "2017-10-10 17:55:42" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.149 bot - "2017-10-10 17:55:43" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-10-10 17:56:38" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.150 bot - "2017-10-10 17:56:54" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.150 bot - "2017-10-10 18:10:51" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.150 bot - "2017-10-10 18:43:15" http://viti.ca/journals/index.php/VJIBL/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.94 bot - "2017-10-10 18:48:03" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.65 bot - "2017-10-10 18:48:10" http://viti.ca/journals/index.php/VJIBL/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.149 bot - "2017-10-10 18:49:07" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.149 bot - "2017-10-10 19:03:13" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.94 bot - "2017-10-10 19:08:32" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.94 bot - "2017-10-10 19:10:29" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
