180.76.15.161 bot - "2017-01-17 06:54:37" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
45.55.182.136 - - "2017-01-17 07:59:28" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 07:59:38" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 07:59:44" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 08:00:03" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 08:00:13" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 08:00:59" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 08:01:24" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
45.55.182.136 - - "2017-01-17 08:01:54" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )"
