46.229.168.76 - - "2017-12-10 00:05:14" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
164.132.162.158 bot - "2017-12-10 02:16:12" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
66.249.79.36 bot - "2017-12-10 06:28:31" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.95 bot - "2017-12-10 06:40:16" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-12-10 07:11:19" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.36 bot - "2017-12-10 07:40:15" http://viti.ca/journals/index.php/VJIBL/article/download/11/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-12-10 11:49:06" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-12-10 12:04:16" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.91 bot - "2017-12-10 12:39:36" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
164.132.161.44 bot - "2017-12-10 17:10:22" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
88.198.25.244 - - "2017-12-10 18:34:12" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:39:31" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:40:14" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:54:30" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:54:43" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:55:02" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:55:18" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:55:43" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:56:03" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 18:56:27" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:04:09" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:05:15" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:06:22" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:06:46" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:07:23" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
88.198.25.244 - - "2017-12-10 19:08:28" http://viti.ca/journals/index.php/VJIBL/article/view/10 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
180.76.15.142 bot - "2017-12-10 20:59:44" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
51.255.65.41 bot - "2017-12-10 21:32:13" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
180.76.15.14 bot - "2017-12-10 22:21:12" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
