66.249.65.130 bot - "2016-10-21 03:42:57" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
91.121.101.78 bot - "2016-10-21 10:47:36" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.121.101.78 bot - "2016-10-21 10:47:51" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.121.101.78 bot - "2016-10-21 10:47:59" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
91.121.101.78 bot - "2016-10-21 10:48:14" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
128.189.203.207 - - "2016-10-21 17:50:47" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
128.189.203.207 - - "2016-10-21 17:50:54" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
128.189.203.207 - - "2016-10-21 17:50:58" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
66.249.79.106 bot - "2016-10-21 23:20:36" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
62.210.148.247 bot - "2016-10-21 23:42:06" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
62.210.148.247 bot - "2016-10-21 23:44:21" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
62.210.148.247 bot - "2016-10-21 23:46:01" http://viti.ca/journals/index.php/VJICBL/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
62.210.148.247 bot - "2016-10-21 23:47:52" http://viti.ca/journals/index.php/test/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
