217.182.132.241 bot - "2017-06-22 01:43:05" http://viti.ca/journals/index.php/VJIBL/article/download/6/3 200 "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)"
141.8.143.183 bot - "2017-06-22 03:13:11" http://viti.ca/journals/index.php/VJIBL/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.79.88 bot - "2017-06-22 04:27:10" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.90 bot - "2017-06-22 06:16:39" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.134 bot - "2017-06-22 06:17:55" http://viti.ca/journals/index.php/VJIBL/article/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.88 bot - "2017-06-22 06:18:07" http://viti.ca/journals/index.php/VJIBL/article/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.134 bot - "2017-06-22 06:22:41" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.88 bot - "2017-06-22 06:26:47" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
85.3.142.156 - - "2017-06-22 08:00:36" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
85.3.142.156 - - "2017-06-22 08:06:57" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
85.3.142.156 - - "2017-06-22 08:10:34" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
185.26.180.169 - - "2017-06-22 11:50:00" http://viti.ca/journals/index.php/VJIBL/article/download/9/7 200 "Opera/9.80 (Android; Opera Mini/24.0.2254/64.228; U; en) Presto/2.12.423 Version/12.16"
66.249.79.138 bot - "2017-06-22 16:30:48" http://viti.ca/journals/index.php/VJIBL/article/download/7/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-22 18:30:19" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.65 bot - "2017-06-22 18:34:49" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.88 bot - "2017-06-22 19:00:57" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.136 bot - "2017-06-22 19:21:37" http://viti.ca/journals/index.php/VJIBL/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
63.243.252.123 bot - "2017-06-22 19:31:14" http://viti.ca/journals/index.php/VJIBL/article/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.79.136 bot - "2017-06-22 21:09:41" http://viti.ca/journals/index.php/VJIBL/article/view/7 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.134 bot - "2017-06-22 21:30:08" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-22 23:01:21" http://viti.ca/journals/index.php/VJIBL/article/view/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.138 bot - "2017-06-22 23:16:29" http://viti.ca/journals/index.php/VJIBL/article/download/10/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
